DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
03,005,GLE,R,27.812,95,A,17,N,1507,9.350,58.780,5.490,10,FRI,JUN,S,"1,679",10.500,58.300,6.120,13,SUN,JUL
02,005,TEH,R,9.972,271,O,17,S,1792,10.470,54.600,5.720,12,WED,NOV,S,"2,002",10.370,61.580,6.380,14,MON,MAY
02,005,TEH,R,26.525,321,B,17,S,1967,7.730,66.810,5.170,8,TUE,AUG,N,"2,259",9.080,65.330,5.930,16,SAT,AUG
02,005,SHA,R,3.830,272,B,16,N,2335,7.430,62.470,4.640,8,WED,MAR,S,"2,325",8.500,54.370,4.620,17,FRI,MAR
02,005,SHA,R,7.800,239,B,17,N,2704,7.670,64.540,4.950,7,WED,MAR,S,"2,766",9.180,55.100,5.060,15,FRI,AUG
02,005,SHA,R,13.952,298,O,17,N,2941,7.730,63.100,4.880,7,THU,MAR,N,"2,981",9.160,54.000,4.940,14,FRI,JUN
02,005,SHA,R,14.459,304,A,17,N,3082,8.450,53.520,4.520,12,THU,JUL,S,"3,290",9.030,53.480,4.830,15,THU,AUG
02,005,SHA,R,15.448,196,A,17,N,2737,8.290,55.720,4.620,10,FRI,AUG,N,"2,927",9.220,53.620,4.940,15,FRI,JUN
02,005,SHA,R,19.402,312,B,17,N,2239,8.770,54.820,4.810,12,SAT,JUL,S,"2,537",10.170,53.590,5.450,14,SUN,NOV
02,005,SHA,R,24.080,309,A,17,N,1586,10.990,63.570,6.980,12,THU,AUG,N,"1,620",11.850,60.200,7.130,15,SAT,JUL
02,005,SHA,R,26.035,273,B,17,N,2031,13.270,66.850,8.870,11,SUN,AUG,N,"2,029",10.820,81.950,8.860,14,WED,JAN
02,005,SHA,,57.410,179,B,17,N,1371,13.150,53.390,7.020,10,SUN,NOV,N,"1,687",13.210,65.390,8.640,13,FRI,AUG
02,005,SIS,R,11.170,310,O,17,S,1441,4.810,71.510,3.440,8,TUE,AUG,N,"1,783",6.720,63.380,4.260,13,FRI,AUG
02,005,SIS,R,22.999,294,O,17,N,1040,10.440,60.570,6.320,9,SAT,JUL,N,"1,247",12.050,62.950,7.580,15,FRI,AUG
02,005,SIS,R,52.777,232,O,17,N,1028,11.070,58.540,6.480,12,SUN,JUL,N,"1,232",11.800,65.850,7.770,14,SUN,APR
02,005,SIS,R,62.921,410,A,17,S,1026,10.910,58.230,6.350,11,SAT,NOV,S,"1,256",11.790,65.970,7.780,16,TUE,AUG
02,005,SIS,R,68.328,231,B,17,N,1038,12.270,52.740,6.470,12,MON,DEC,N,"1,257",11.600,67.540,7.840,16,THU,AUG
09,006,INY,,0.000,944,A,17,S,240,8.970,69.570,6.240,7,WED,OCT,N,223,9.000,64.450,5.800,17,WED,MAR
09,006,INY,R,3.952,945,A,17,S,163,8.700,79.130,6.880,6,WED,APR,S,130,8.150,67.360,5.490,15,SAT,NOV
09,006,MNO,,32.290,997,B,17,S,68,10.420,60.180,6.270,12,WED,SEP,S,75,12.270,56.390,6.920,14,FRI,AUG
11,007,IMP,,1.188,607,B,17,N,453,8.430,64.260,5.410,12,MON,DEC,S,818,14.890,65.650,9.780,16,SAT,FEB
11,007,IMP,,1.188,401,A,17,N,283,6.760,62.750,4.240,12,MON,MAR,S,479,10.460,68.630,7.180,15,FRI,FEB
11,007,IMP,,6.718,402,B,17,N,293,6.980,62.470,4.360,12,MON,NOV,S,433,9.810,65.710,6.440,15,FRI,MAR
11,008,SD,L,1.213,958,A,17,W,4298,7.460,55.930,4.170,11,SAT,OCT,W,"4,139",6.590,60.970,4.020,16,FRI,NOV
